Residencia;Aparelho;Potencia;Duracao;Ciclo;Inicio;Fim;Ideal
1;Lâmpada incandescente;100;6;1;18;23;18
1;Lâmpada incandescente;200;154;1;18;23;18
1;Secador de cabelo;2200;19;1;17;23;17
1;Chuveiro elétrico;4500;60;1;6;23;6
1;Lâmpada incandescente;200;28;1;18;23;18
1;Videogame;120;238;1;8;23;8
1;Televisor;90;192;1;8;23;8
1;Lâmpada incandescente;200;115;1;18;23;18
1;Forno elétrico;3600;20;1;10;20;10
1;Batedeira;360;9;1;10;20;10
1;Cooktop elétrico;1500;45;1;10;20;10
1;Forno de micro-ondas;2400;6;1;6;23;6
1;Depurador de ar;260;36;1;10;20;10
1;Rádio relógio;15;56;1;10;20;10
1;Omeleteira;380;7;1;6;20;6
1;Extrator de suco;290;12;1;6;20;6
1;Cafeteira;1000;9;1;6;20;6
1;Processador de alimentos;150;2;1;10;20;10
1;Torradeira;830;4;1;6;20;6
1;Chaleira elétrica;1765;4;1;6;23;6
1;Aparelho de fondue;1620;95;1;20;23;20
1;Mixer;430;2;1;10;20;10
1;Geladeira;120;1440;1;1;24;1
1;Lâmpada incandescente;100;192;1;18;23;18
1;Esteira elétrica;1800;164;1;8;21;8
1;Aparelho de som;100;0;1;10;21;10
1;Computador;40;376;1;8;23;8
1;Monitor;23;182;1;8;23;8
1;Piano elétrico;50;84;1;10;21;10
1;Videogame;18;90;1;8;23;8
1;Televisor;28;412;1;8;23;8
1;Notebook;42;100;1;8;23;8
1;Impressora;8;0;1;8;23;8
1;Copiadora;435;6;1;8;23;8
1;Scanner;3;1;1;8;23;8
1;Receptor de TV digital;15;220;1;8;23;8
1;Roteador;8;1440;1;1;24;1
1;Aspirador de pó;1400;22;1;10;21;10
1;Máquina de lavar roupas;500;0;1;10;21;10
1;Ferro elétrico;2400;13;1;10;21;10
2;Lâmpada incandescente;100;30;1;18;23;18
2;Lâmpada incandescente;200;50;1;18;23;18
2;Secador de cabelo;2200;23;1;17;23;17
2;Chuveiro elétrico;4500;20;1;6;23;6
2;Lâmpada incandescente;200;108;1;18;23;18
2;Videogame;120;45;1;8;23;8
2;Televisor;90;174;1;8;23;8
2;Lâmpada incandescente;200;77;1;18;23;18
2;Forno elétrico;3600;52;1;10;20;10
2;Batedeira;360;5;1;10;20;10
2;Cooktop elétrico;1500;32;1;10;20;10
2;Forno de micro-ondas;2400;6;1;6;23;6
2;Depurador de ar;260;12;1;10;20;10
2;Rádio relógio;15;95;1;10;20;10
2;Omeleteira;380;30;1;6;20;6
2;Extrator de suco;290;20;1;6;20;6
2;Cafeteira;1000;18;1;6;20;6
2;Processador de alimentos;150;6;1;10;20;10
2;Torradeira;830;8;1;6;20;6
2;Chaleira elétrica;1765;4;1;6;23;6
2;Aparelho de fondue;1620;81;1;20;23;20
2;Mixer;430;6;1;10;20;10
2;Geladeira;120;1440;1;1;24;1
2;Lâmpada incandescente;100;310;1;18;23;18
2;Esteira elétrica;1800;180;1;8;21;8
2;Aparelho de som;100;39;1;10;21;10
2;Computador;40;86;1;8;23;8
2;Monitor;23;142;1;8;23;8
2;Piano elétrico;50;252;1;10;21;10
2;Videogame;18;108;1;8;23;8
2;Televisor;28;66;1;8;23;8
2;Notebook;42;327;1;8;23;8
2;Impressora;8;0;1;8;23;8
2;Copiadora;435;4;1;8;23;8
2;Scanner;3;6;1;8;23;8
2;Receptor de TV digital;15;90;1;8;23;8
2;Roteador;8;1440;1;1;24;1
2;Aspirador de pó;1400;70;1;10;21;10
2;Máquina de lavar roupas;500;0;1;10;21;10
2;Ferro elétrico;2400;0;1;10;21;10
3;Lâmpada incandescente;100;18;1;18;23;18
3;Lâmpada incandescente;200;198;1;18;23;18
3;Secador de cabelo;2200;30;1;17;23;17
3;Chuveiro elétrico;4500;25;1;6;23;6
3;Lâmpada incandescente;200;81;1;18;23;18
3;Videogame;120;44;1;8;23;8
3;Televisor;90;90;1;8;23;8
3;Lâmpada incandescente;200;24;1;18;23;18
3;Forno elétrico;3600;0;1;10;20;10
3;Batedeira;360;5;1;10;20;10
3;Cooktop elétrico;1500;21;1;10;20;10
3;Forno de micro-ondas;2400;35;1;6;23;6
3;Depurador de ar;260;14;1;10;20;10
3;Rádio relógio;15;84;1;10;20;10
3;Omeleteira;380;27;1;6;20;6
3;Extrator de suco;290;6;1;6;20;6
3;Cafeteira;1000;8;1;6;20;6
3;Processador de alimentos;150;1;1;10;20;10
3;Torradeira;830;4;1;6;20;6
3;Chaleira elétrica;1765;8;1;6;23;6
3;Aparelho de fondue;1620;51;1;20;23;20
3;Mixer;430;6;1;10;20;10
3;Geladeira;120;1440;1;1;24;1
3;Lâmpada incandescente;100;171;1;18;23;18
3;Esteira elétrica;1800;70;1;8;21;8
3;Aparelho de som;100;78;1;10;21;10
3;Computador;40;196;1;8;23;8
3;Monitor;23;61;1;8;23;8
3;Piano elétrico;50;85;1;10;21;10
3;Videogame;18;0;1;8;23;8
3;Televisor;28;35;1;8;23;8
3;Notebook;42;452;1;8;23;8
3;Impressora;8;8;1;8;23;8
3;Copiadora;435;2;1;8;23;8
3;Scanner;3;3;1;8;23;8
3;Receptor de TV digital;15;112;1;8;23;8
3;Roteador;8;1440;1;1;24;1
3;Aspirador de pó;1400;0;1;10;21;10
3;Máquina de lavar roupas;500;0;1;10;21;10
3;Ferro elétrico;2400;17;1;10;21;10
